States/UTs,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Andhra Pradesh,43600,44599,44165,42524,43482,24440,24258,24888,25727,24475,21992
Arunachal Pradesh,306,293,263,251,308,205,284,249,241,277,237
Assam,4869,5828,6569,6535,7211,7144,6959,7435,7170,8248,8350
Bihar,10065,11033,10673,10320,10200,9556,9555,8222,8855,9600,10007
Chhattisgarh,12888,13664,14108,13511,13657,13821,14446,13580,13563,13864,13899
Goa,4165,4572,4560,4312,4294,4229,4338,4304,3917,3709,3440
Gujarat,31034,30114,30205,27949,25391,23712,23183,21859,19081,18769,17046
Haryana,11915,11195,11128,10065,10482,10676,11174,11234,11258,11238,10944
Himachal Pradesh,3051,3069,3099,2899,2981,3058,3010,3168,3114,3110,2873
Jammu & Kashmir,5945,6134,6655,6709,6457,5861,5836,5501,5624,5978,5796
Jharkhand,4996,5521,5451,5711,5569,5201,5162,4932,5198,5394,5217
Karnataka,45190,46250,44731,44448,44020,43713,44011,44403,42542,41707,40658
Kerala,35433,35082,35216,36174,35215,36282,39014,39420,38470,40181,41111
Madhya Pradesh,47267,50023,49406,51210,51810,53472,54947,53972,53399,51397,50669
Maharashtra,71996,71289,68438,66316,63019,61627,63805,39878,35853,35717,32925
Manipur,578,602,692,771,671,743,671,538,578,601,672
Meghalaya,398,474,599,483,525,542,606,620,675,399,482
Mizoram,86,125,97,110,114,132,70,83,68,53,62
Nagaland,63,35,39,42,71,305,54,75,531,430,358
Odisha,8887,9413,9398,9285,9680,9648,10542,10532,10855,11262,11064
Punjab,5570,5507,6513,6341,6323,6391,6702,6952,6273,6428,6348
Rajasthan,25114,24302,23245,22969,23592,24628,24072,23066,22112,21743,23480
Sikkim,564,186,406,158,244,203,219,210,196,180,162
Tamil Nadu,60794,64996,65873,67757,66238,67250,69059,71431,65562,63920,57228
Telangana,NA,NA,NA,NA,NA,20078,21252,22811,22484,22230,21570
Tripura,865,901,834,888,818,716,647,557,503,552,655
Uttarakhand,1401,1493,1508,1472,1297,1410,1523,1591,1603,1468,1352
Uttar Pradesh,28155,28362,29285,29972,30615,31034,32385,35612,38783,42568,42572
West Bengal,11134,14888,14945,12290,12414,12875,13208,13580,11631,12705,10158
Andaman & Nicobar Islands,271,285,234,236,200,218,258,238,0.041666667,254,230
Chandigarh,424,456,437,419,410,369,416,428,342,316,305
Dadra & Nagar Haveli,79,96,103,85,91,87,69,70,67,80,68
Daman & Diu,63,48,50,50,59,39,70,71,79,76,69
Delhi,7516,7260,7281,6937,7566,8623,8085,7375,6673,6515,5610
Lakshadweep,4,4,0,3,1,1,3,1,1,3,1
Puducherry,1698,1529,1480,1181,1451,1111,1530,1766,1693,1597,1392
India,486384,499628,497686,490383,486476,489400,501423,480652,464910,467044,449002
