States/UTs,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Andhra Pradesh,52157,53928,55583,51552,49970,29931,29439,30051,27475,23456,24619
Arunachal Pradesh,530,491,438,399,405,308,359,391,316,323,309
Assam,5522,7579,6505,6709,6609,6499,7068,6127,6163,7375,7473
Bihar,7113,8106,7083,7142,7086,6640,6835,5651,6014,6679,7206
Chhattisgarh,13274,13599,13929,13517,12503,13157,13426,12955,12550,12715,13090
Goa,2954,2709,2318,2086,1928,1879,2055,2026,1922,1549,1448
Gujarat,32944,32449,29744,27650,24836,22493,21448,19949,16802,17467,16258
Haryana,10481,9905,9727,9452,9143,8944,10794,10531,10339,10020,9362
Himachal Pradesh,5579,5325,5462,5248,5081,5576,5108,5764,5452,5551,4904
Jammu & Kashmir,8199,8726,10012,9755,8681,8043,8142,7692,7419,7845,7532
Jharkhand,4406,4872,4811,4974,4356,4356,4038,3793,3918,3975,3818
Karnataka,61697,61774,59591,58659,56781,56831,56971,54556,52961,51562,50447
Kerala,41402,41473,41379,41915,40346,41096,43735,44108,42671,45458,46055
Madhya Pradesh,54611,56897,55545,55994,55731,55335,55815,57873,57532,54662,52816
Maharashtra,47878,46985,45628,43847,41972,40455,39606,35884,32128,31365,28628
Manipur,1189,1132,1118,1391,1175,1295,1201,955,1027,1042,1055
Meghalaya,713,461,591,322,412,311,319,354,354,205,222
Mizoram,203,252,215,172,264,234,103,68,55,80,56
Nagaland,151,121,107,49,65,230,74,120,375,335,246
Odisha,11296,11399,11248,10715,11254,11087,11825,11312,11198,11794,11177
Punjab,4486,4071,4081,3997,4383,4127,4414,4351,4218,3384,3812
Rajasthan,32317,31033,28666,28135,27424,27453,26153,24103,22071,21547,22979
Sikkim,434,399,321,336,409,352,337,263,479,370,318
Tamil Nadu,70504,75445,74245,78348,75681,77725,79746,82163,74571,74537,67137
Telangana,NA,NA,NA,NA,NA,21636,22948,24217,23990,23613,21999
Tripura,1342,1269,1030,1237,1277,1225,1028,853,718,741,816
Uttarakhand,1784,1656,1712,1577,1503,1531,1657,1735,1631,1571,1457
Uttar Pradesh,20632,20113,15513,22155,23024,22337,23205,25096,27494,29664,28932
West Bengal,12186,15760,14962,13773,13182,12018,11794,11859,10091,11997,9757
Andaman & Nicobar Islands,342,373,298,288,233,283,331,323,263,260,207
Chandigarh,321,415,370,347,335,335,331,329,302,300,275
Dadra & Nagar Haveli,71,134,210,122,104,96,97,130,60,66,105
Daman & Diu,69,43,37,39,75,49,64,102,70,94,74
Delhi,6936,7108,7226,6633,7098,8283,8258,7154,6604,6086,5152
Lakshadweep,3,5,0,3,2,1,3,0,1,3,1
Puducherry,1732,1505,1689,1129,1565,1323,1552,1786,1741,1727,1619
India,515458,527512,511394,509667,494893,493474,500279,494624,470975,469418,451361
