States/UTs,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Andhra Pradesh,14770,15684,15165,14964,14171,7908,8297,8541,8060,7556,7984
Arunachal Pradesh,158,148,126,138,143,119,127,149,110,175,127
Assam,1991,2256,2342,2291,2441,2522,2397,2572,2783,2966,3208
Bihar,4390,5137,5090,5056,5061,4913,5421,4901,5554,6729,7205
Chhattisgarh,2865,2956,2983,3167,3477,4022,4082,3908,4136,4592,5003
Goa,321,327,333,292,266,290,311,336,328,262,297
Gujarat,6983,7506,8008,7817,7613,7955,8119,8136,7289,7996,7390
Haryana,4603,4719,4762,4446,4517,4483,4879,5024,5120,5118,5057
Himachal Pradesh,1140,1102,1072,1109,1054,1199,1096,1271,1203,1208,1146
Jammu & Kashmir,1100,1045,1116,1165,990,992,917,958,926,984,996
Jharkhand,2170,2540,2572,2818,2706,2628,2893,3027,3256,3542,3801
Karnataka,8714,9590,8971,9448,10046,10452,10856,11133,10609,10990,10958
Kerala,3830,3950,4145,4286,4258,4049,4196,4287,4131,4303,4440
Madhya Pradesh,7365,8085,7869,8175,8588,8569,9314,9646,10177,10706,11249
Maharashtra,11396,12340,13057,13333,13029,12803,13212,12935,12264,13261,12788
Manipur,125,154,158,158,165,168,139,81,136,134,156
Meghalaya,145,163,212,219,130,141,183,150,182,182,179
Mizoram,60,82,81,77,97,103,72,70,60,45,48
Nagaland,55,40,25,56,30,81,30,46,41,39,26
Odisha,3527,3837,3802,3701,4062,3931,4303,4463,4790,5315,5333
Punjab,3668,3542,4931,4820,4588,4621,4893,5077,4463,4740,4525
Rajasthan,9045,9163,9232,9528,9724,10289,10510,10465,10444,10320,10563
Sikkim,87,71,106,55,68,59,70,85,78,85,73
Tamil Nadu,13746,15409,15422,16175,15563,15190,15642,17218,16157,12216,10525
Telangana,NA,NA,NA,NA,NA,6906,7110,7219,6596,6603,6964
Tripura,229,231,245,272,226,188,158,173,161,213,239
Uttarakhand,852,931,937,844,766,878,913,962,942,1047,867
Uttar Pradesh,14638,15175,21512,16149,16004,16287,17666,19320,20124,22256,22655
West Bengal,4860,5680,5664,5397,5504,5875,6234,6544,5769,5711,5500
Andaman & Nicobar Islands,33,27,17,25,40,23,23,17,21,19,20
Chandigarh,171,138,136,136,117,131,129,151,107,98,104
Dadra & Nagar Haveli,45,62,63,53,49,59,42,46,43,54,49
Daman & Diu,33,31,33,29,31,15,42,38,36,35,28
Delhi,2325,2153,2065,1866,1820,1671,1622,1591,1584,1690,1463
Lakshadweep,2,0,0,0,0,0,0,1,0,1,0
Puducherry,218,239,233,193,228,151,235,244,233,226,147
India,125660,134513,142485,138258,137572,139671,146133,150785,147913,151417,151113
